名称,相对路径,性别,年龄段,预测年龄,语速,用途,标签,典型角色,描述
芯悦·逗哥妹,逗哥热门音色/音色-  逗哥妹.mp3,女,青年,25岁,适中,配音+旁白,清亮|亲切|温柔|自然|知性|活力|悦耳|合成感,客服助理、有声书旁白、新闻播报员、智能管家、邻家姐姐,声音清亮柔和，语调亲切自然，带有一种标准的播音腔感，非常适合用于智能客服、有声读物旁白或亲切的邻家角色配音。
言峥,逗哥热门音色/逗俊辉.mp3,男,青年,27岁,适中,配音+旁白,清亮|温润|知性|爽朗|现代|亲切|朝气|自信|清晰,青年才俊、新闻主播、职场精英、热血男主、科技解说,清亮且富有朝气的青年男声，音质干净无杂质，咬字清晰且带有自然的亲切感。声音既有现代都市的时尚感，又具备知性的稳重气质，非常适合演绎职场青年或进行科技类旁白解说。
镇岳,逗哥热门音色/音色-  逗腔腔.mp3,男,中年,38岁,适中,配音+旁白,浑厚|磁性|稳重|威严|深沉|粗犷|坚毅|阳刚,将军、硬汉、大侠、黑帮老大、豪爽大叔,声音浑厚有力，自带一种粗犷而坚毅的磁性，如同山岳般沉稳。语气中透着威严与豪迈，非常适合演绎性格刚烈、气场强大的硬汉或领袖角色。
亦暖,逗哥热门音色/逗之秋.mp3,男,青年,27岁,较慢,配音+旁白,温暖|治愈|柔和|磁性|深情|感性|文艺|清澈|舒缓,电台主播、深情男二、纪录片解说、暖男、文艺青年,温暖而富有磁性的青年男声，语调柔和舒缓，如同春日暖阳般抚慰人心。自带一种文艺与治愈的气质，非常适合情感类电台、文艺电影旁白或深情守护的角色。
悦心,逗哥热门音色/音色-逗语彤.mp3,女,青年,23岁,较快,配音+旁白,甜美|明亮|轻快|活泼|亲切|元气|活力|清新|现代,职场新人、邻家少女、短视频主播、时尚博主、都市白领,声音甜美且富有活力，语调轻快明亮，如同春日阳光般充满朝气。具有很强的亲和力和现代感，非常适合演绎年轻活泼的女性角色或作为轻松时尚类的短视频旁白。
玄清,逗哥热门音色/音色-逗姥爷.mp3,男,老年,68岁,较慢,配音+旁白,沧桑|沙哑|慈祥|深沉|阅历|老态|故事感|古朴,老爷爷、智慧长者、隐士高人、旁白解说、历史见证者,苍老沙哑的男性嗓音，语调中透着岁月的痕迹与深沉的阅历感。声音略显粗糙但充满故事性，适合演绎充满智慧的长老、和蔼的祖父或历史纪录片的旁白。
凌霜,逗哥热门音色/逗月辰.mp3,女,青年,27岁,较快,配音+旁白,干练|御姐|悬疑|冷艳|紧凑|戏剧性|讲述感|现代,新闻女主播、悬疑剧旁白、职场女强人、复仇剧女主、解说员,声音干练且具有极强的穿透力，语调紧凑，带有明显的悬疑感和讲述欲。这种冷艳御姐音非常适合短视频解说、大女主复仇剧旁白或职场女强人角色。
言初,逗哥热门音色/音色-   逗超岚.mp3,男,青年,28岁,适中,配音+旁白,温暖|清晰|亲切|阳光|治愈|磁性|标准|舒适,暖男学长、电台主播、初恋男友、解说员、智能助手,声音清澈温暖，带有恰到好处的磁性和阳光感，语调平稳且富有亲和力。适合演绎温柔的邻家哥哥、深情的独白，或作为让人感到放松舒适的有声书旁白。
旅尘,逗哥热门音色/轻松-逗叔君.mp3,男,中年,38岁,适中,旁白,沧桑|故事感|磁性|深沉|文艺|孤独|稳重|叙述,旅行博主、纪录片旁白、失意中年、独行侠、情感电台主播,充满故事感的中年男声，音色深沉且略带沧桑的颗粒感，如同久经风霜的行者，非常适合演绎旅行随笔、心情独白或纪录片旁白。
言深,逗哥热门音色/逗南消.mp3,男,青年,28岁,适中,配音+旁白,磁性|冷静|叙述感|知性|沉稳|理性|故事感|清晰,纪录片旁白、悬疑解说、青年才俊、新闻播报、科普博主,冷静而富有磁性的青年男声，咬字清晰且带有强烈的叙述感，语调平和中透着一丝理性的光辉，非常适合作为纪录片、科普类视频或悬疑解说的主讲人。
星烁,逗哥热门音色/音色-云浩宇.mp3,男,青年,23岁,适中,配音+旁白,清亮|阳光|爽朗|活力|友善|干净|自信|现代|亲切,热血少年、大学生、现代都市男主、游戏解说、系统向导,声音清亮干净，充满朝气蓬勃的少年感与活力，语气自然且极具亲和力，适合演绎阳光开朗的年轻主角或富有激情的现代题材旁白。
亦成,逗哥热门音色/逗润年.mp3,男,青年,28岁,适中,旁白,清亮|叙述感|温润|理性|治愈|知性|平和|流畅,电影解说、纪录片旁白、情感电台主播、知识博主、有声书叙述者,声音清亮温润，具有很强的叙述感和流畅度，语气平和且富有逻辑性，能够清晰地传达故事背景与情感，非常适合作为电影解说或情感类文章的旁白。
言煦,逗哥热门音色/音色- 逗欢伯.mp3,男,青年,27岁,适中,配音+旁白,清朗|温润|磁性|阳光|亲和|标准|舒缓|现代|知性,暖男学长、职场新人、电台主播、邻家哥哥、纪录片解说,温暖而清朗的青年男声，如同春日暖阳般令人舒适。音质干净无杂质，语气亲切自然，既适合演绎深情款款的现代剧男主，也能胜任轻松愉悦的广告旁白或有声书讲述。
言瑾·沉稳,逗哥热门音色/音色-  逗震震.mp3,男,青年,28岁,适中,配音+旁白,低沉|磁性|稳重|温和|成熟|知性|叙述感|亲切,新闻主播、深情男主、职场精英、记录片旁白、可靠学长,声音低沉且富有磁性，带有一种稳重而温和的叙述感，听感舒适自然，非常适合用于情感独白、新闻播报或展现成熟魅力的男性角色。
影随,逗哥热门音色/故事-逗叔君.mp3,男,青年,27岁,适中,旁白,冷静|叙述感|微磁|平稳|客观|自然|清晰|理性,纪录片旁白、悬疑剧解说、有声书讲述者、新闻播报员,声音冷静且带有叙述感，音质干净微磁，如同旁观者般客观陈述，语调平稳流畅，非常适合纪录片解说或悬疑故事的旁白。
亦衡,逗哥热门音色/音色-   逗天麟.mp3,男,青年,26岁,适中,配音+旁白,清晰|阳光|明朗|亲切|自然|温和|正直|朝气,青年才俊、热血记者、科技解说、邻家大哥、新手律师,声音清晰明朗，带有自然的亲切感和朝气，语调中正平和，既适合演绎富有正义感的青年角色，也适合作为科技产品或日常资讯的解说旁白。
敏珠,逗哥热门音色/翠萍东北妞.mp3,女,青年,27岁,较快,旁白,八卦|吐槽|明亮|干练|接地气|吃瓜|爽朗|活泼,娱乐博主、综艺旁白、吃瓜群众、闺蜜、现代都市剧配角,声音明亮且富有穿透力，语调中带着明显的“吃瓜”和吐槽意味，节奏轻快干练，像是一位正在热衷于分享八卦的闺蜜或娱乐解说博主，非常适合解说类短视频或综艺旁白。
雅文,逗哥热门音色/逗若雪.mp3,女,中年,40岁,适中,配音+旁白,知性|温婉|成熟|优雅|有故事感|沉稳|亲切|叙述感,都市女强人、知性母亲、纪录片旁白、情感电台主播、文艺片女主,声音温婉知性，透着成熟女性的优雅与从容，语调平稳且富有叙述感，如同老友般娓娓道来，非常适合演绎有生活阅历的女性角色或情感类旁白。
悦聆,逗哥热门音色/音色-  东北-强势.mp3,女,青年,26岁,适中,配音+旁白,清晰|亲切|标准|明亮|柔和|知性|干练|商务|温婉,智能助手、新闻主播、客服人员、有声书旁白、企业宣传员,声音清晰明亮，发音标准且富有亲和力，语调平稳流畅，既有职业女性的干练感，又不失温婉知性的气质，非常适合各类解说与交互场景。
亦宁,逗哥热门音色/音色- 逗楚灵.mp3,女,青年,27岁,适中,配音+旁白,知性|温婉|清晰|端庄|亲切|柔和|信赖感|职业,新闻主播、智能助手、知性大姐姐、职场女性、解说员,声音温润如玉，兼具知性与亲切感，咬字清晰标准，语调平稳流畅。既适合作为智能助手的交互语音，也适合演绎职场中干练温柔的女性角色或有声读物的旁白。
言舒,逗哥热门音色/逗芷若.mp3,女,青年,26岁,较慢,配音+旁白,知性|温柔|清冷|文艺|叙述感|舒缓|沉静|细腻|略带忧郁,文艺片旁白、情感电台主播、知性女作家、回忆中的白月光、纪录片解说,清冷而温柔的青年女声，音色干净且富有叙述感，如同深夜的低语，自带一种文艺与淡淡的忧郁气质。非常适合演绎情感类旁白、文艺电影解说或内心独白场景。
玄震,逗哥热门音色/音色- 逗天幕.mp3,男,中年,38岁,适中,配音+旁白,磁性|沉稳|中正|温厚|端庄|叙事感|平和|可靠,新闻主播、纪录片解说、系统播报、中年导师、正派侠客,声音中正平和，带有温厚的磁性与沉稳的气质，没有过多的情绪起伏但极具信服力。适合各类正式的播报、解说旁白，或性格稳重的正派男性角色。
萌小团,逗哥热门音色/逗松言.mp3,女,少年,16岁,适中,配音,少女音|傲娇|软萌|稚嫩|元气|清脆|情绪化|任性,叛逆学妹、傲娇萝莉、游戏陪玩、腹黑少女、任性千金,声音清脆稚嫩，带有一种软糯的少女感和轻微的傲娇情绪。咬字清晰但带有撒娇的尾音，听感活泼且富有辨识度，非常适合演绎校园题材中的叛逆学妹或二次元傲娇角色。
言诺,逗哥热门音色/音色- 逗哥弟.mp3,男,青年,26岁,适中,配音+旁白,清朗|温润|自然|磁性|阳光|亲切|现代|诚恳,AI助手、新闻播报、产品介绍、邻家哥哥、知识科普,声音清朗温润，带有一种自然的亲切感和轻微的磁性，发音标准且富有现代感，非常适合作为智能助手的交互语音或生活类内容的旁白。
言策,逗哥热门音色/轻蔑-逗叔君.mp3,男,中年,38岁,适中,配音,圆滑|世故|透彻|精明|市井|微哑|讲故事|中气足,管家、师爷、说书人、精明商人、情报贩子,声音听起来带有一种老江湖的圆滑与世故，语气中透露出对局势的洞若观火，略带一丝微哑的质感，非常适合演绎那些深谙世事、精明算计的配角或说书人类角色。
亦扬,逗哥热门音色/逗报声.mp3,男,青年,28岁,适中,旁白,清亮|讲述感|活力|热血|现代|自信|干练|励志|积极,体育解说、纪录片旁白、励志短片主角、电竞选手、职场精英,声音清亮且富有现代感，咬字清晰，语气中带有一种自然的活力与讲述感。适合用于体育赛事回顾、励志故事解说或展现年轻人拼搏精神的场景。
言辞,逗哥热门音色/新云浩宇.mp3,男,青年,26岁,适中,配音+旁白,清亮|温润|标准|亲切|阳光|书卷气|自然|磁性,青年才俊、温柔学长、纪录片旁白、系统提示音、初入职场主角,声音清亮温润，吐字清晰标准，带有一种自然的亲和力与书卷气。语调平稳舒适，非常适合作为有声读物旁白或具有现代感的青年角色配音。
言瑾·新闻男,逗哥热门音色/逗宇航.mp3,男,青年,30岁,适中,配音+旁白,字正腔圆|专业|振奋|昂扬|清晰|干练|正式|积极,新闻主播、体育解说、晚会主持、官方发言人、正能量宣讲,声音字正腔圆，语调昂扬且充满激情，具有极高的专业度与正式感，咬字清晰干练，非常适合播报新闻快讯、体育赛事结果或正能量宣传片旁白。
亦尘,逗哥热门音色/音色-   逗铁溜.mp3,男,青年,28岁,适中,配音+旁白,清朗|温润|自然|亲切|阳光|书卷气|真诚|现代,暖男、职场新人、电台主持、青年教师、现代剧男主,声音清朗温润，听感如春风拂面，既有青年人的朝气又不失稳重，语调自然真诚，极具亲和力，适合演绎温暖治愈或现代职场类的角色。
亦欣,逗哥热门音色/音色-   逗微瑕.mp3,女,青年,26岁,适中,配音+旁白,明亮|亲切|知性|温柔|清晰|现代|大方|活力|干练,客服导购、新闻主播、都市白领、解说员、活动主持,声音明亮且富有现代感，发音清晰标准，带有一种职业化的亲切与热情。语调平稳自然，既适合作为资讯类内容的旁白解说，也适合演绎都市职场女性或智能助手的角色。
言瑾·新闻播,逗哥热门音色/音色-   逗上峰.mp3,男,青年,28岁,适中,配音+旁白,端正|磁性|明亮|专业|正式|清晰|播音腔|亲切,新闻主播、电台主持人、企业宣传片旁白、系统提示音、科普解说员,声音明亮且富有磁性的青年男声，带有明显的专业播音腔调，咬字清晰，语气端正亲切，如同早间新闻的主播，适合各类需要传达专业感与信赖感的场景。
言叙·宇宁,逗哥热门音色/逗宇宁.mp3,男,中年,38岁,适中,旁白,温和|深情|磁性|叙述|稳重|故事感|知性|治愈,纪录片旁白、有声书讲述者、深情男主内心独白、电台主播、回忆录朗读者,声音温润而有厚度，充满磁性和故事感，讲述时情感内敛而深沉，如同在静静诉说一段往事，非常适合解说情感类纪录片、有声小说或电影解说。
如烟,逗哥热门音色/音色-  主妇-淑娟.mp3,女,青年,28岁,适中,配音+旁白,温柔|知性|成熟|优雅|从容|亲切|舒缓|御姐音|暖心,温柔姐姐、知性导师、情感电台主播、贤惠妻子、优雅白领,温柔知性的成熟女声，音色优雅从容，语调舒缓且带有亲切感，既有成熟女性的稳重，又不失温暖的关怀气息，非常适合情感类旁白或温柔体贴的角色。
言舒·知性姐,逗哥热门音色/逗轻语.mp3,女,中年,38岁,适中,旁白,知性|舒缓|成熟|温婉|讲述感|优雅|沉稳|亲切,情感电台主播、纪录片解说、知性母亲、文化访谈主持人、有声书讲述者,声音温婉知性，透着成熟女性的优雅与沉稳，语调舒缓而富有讲述感，非常适合作为情感类、文化类节目的旁白或解说。
言煦·文杰,逗哥热门音色/音色- 逗文杰.mp3,男,青年,22岁,适中,配音+旁白,清朗|温润|少年感|干净|亲切|阳光|柔和|治愈,暖男学长、邻家哥哥、治愈系男主、热血少年、年轻书生,清朗干净的年轻男声，透着如春日阳光般的温暖与亲切感，声线温润不带攻击性，非常适合演绎校园剧中的温柔学长或现代剧中的治愈系男主。
亦辉,逗哥热门音色/音色-  港男阅港.mp3,男,青年,28岁,适中,配音+旁白,粤语腔|磁性|温和|亲切|儒雅|港风|生活化|柔和,香港警察、TVB男主角、深情男配、美食博主、都市白领,带有明显粤语口音或韵味的青年男声，音色磁性温和，语调中透着一种特有的港式儒雅与亲切感，非常适合演绎TVB风格剧集、港风广告或都市情感类旁白。
韵华,逗哥热门音色/逗嬷嬷.mp3,女,老年,65岁,适中,配音+旁白,慈祥|端庄|稳重|温和|和蔼|亲切|长辈|典雅,太后、老夫人、祖母、旁白叙述者、老年贵族,端庄沉稳的老年女性嗓音，语调平缓且富有涵养，透着岁月的沉淀与慈祥感。适合演绎大家族中的长辈、太后等权威且和蔼的角色，或作为充满故事感的叙述旁白。
言溪,逗哥热门音色/音色- 逗正言.mp3,男,青年,22岁,适中,配音+旁白,清澈|温柔|阳光|邻家|纯净|少年感|暖男|亲切,校园男神、邻家哥哥、温柔学长、治愈系男主、情感电台主播,干净清澈的青年男声，带有明显的少年感与温暖气息，语气亲切自然，仿佛夏日溪水般令人舒心，非常适合演绎校园题材的男主角或治愈系的有声读物。
博闻,逗哥热门音色/音色-逗智宸.mp3,男,中年,45岁,适中,旁白,浑厚|磁性|稳重|讲述感|亲切|传统|说书风|沉稳|中气十足,说书人、纪录片旁白、老管家、教书先生、历史解说,浑厚且富有磁性的中年男声，语调稳重而带有浓郁的讲述感，类似于传统评书或经典广播的风格，非常适合作为历史类解说或故事旁白。
疯厨,逗哥热门音色/美英Magician男.mp3,男,中年,38岁,较快,配音,高亢|沙哑|怪诞|夸张|神经质|自信|激情|尖锐,疯狂科学家、古怪发明家、神经质反派、地精、小丑,音色尖锐高亢且带有独特的沙哑颗粒感，语气充满戏剧性的起伏与夸张的情绪，极具辨识度。适合演绎那些性格乖张、情绪不稳定或带有疯狂特质的怪诞角色。
言诚·深情男,逗哥热门音色/音色-   逗超腾.mp3,男,青年,28岁,适中,配音+旁白,深情|磁性|温柔|稳重|亲切|清晰|治愈|悦耳,暖男学长、深情男主、电台DJ、纪录片旁白、温柔男友,音色磁性温暖，语气中自带一种深情与诚恳，咬字清晰且富有感染力，非常适合演绎情感类剧情中的温柔男主或作为治愈系内容的旁白。
婉柔,逗哥热门音色/云小馨（影视模式）.mp3,女,青年,26岁,适中,配音+旁白,知性|温柔|清晰|端庄|亲切|平稳|舒缓|优雅,都市白领、新闻主播、智能客服、知心姐姐、解说员,声音温柔清晰，透着一股知性与端庄的气质，发音标准且语调平稳舒缓。既有亲和力又不失专业感，非常适合担任资讯播报、有声读物旁白或都市剧中的温柔女性角色。
亦鸣,逗哥热门音色/音色-  摆摊君-俊.mp3,男,青年,28岁,较快,配音+旁白,明亮|清脆|高亢|热情|活力|干练|自信|阳光|积极,热血青年、游戏解说、系统提示音、年轻勇者、带货主播,声音明亮清脆，带有一种高亢的金属质感和明显的穿透力。语调上扬充满活力与热情，非常适合演绎热血动漫主角、充满干劲的年轻职员或需要调动气氛的广告旁白。
言颂,逗哥热门音色/音色-逗比特.mp3,男,青年,27岁,适中,配音+旁白,温润|清亮|磁性|亲切|儒雅|现代|知性|平和,新闻主播、知识博主、青年才俊、深情男二、文艺旁白,清亮且富有磁性的青年男声，音色干净温润，语调平稳自然，透着一股知性与亲切感，非常适合新闻播报、知识讲解或现代剧中性格温和的男性角色。
言守,影视角色/钟离.mp3,男,青年,26岁,适中,配音,清冷|正直|坚定|严肃|磁性|正经|契约|忠诚|温润,仙侠男主、守序骑士、忠诚护卫、冷面神君、正派大弟子,声音清冷且具有金属质感的青年男声，语气中透露出一种不容置疑的坚定与正直感。吐字清晰有力，带着一种恪守规则的严肃，非常适合演绎重视承诺、性格沉稳的契约者或正派守护
星仔,影视角色/周星星.mp3,男,青年,26岁,较快,配音,搞怪|无厘头|诙谐|夸张|活力|市井|机灵|辨识度高,韦小宝、至尊宝、滑头小弟、搞笑配角、市井无赖、喜剧主角,极具标志性的无厘头青年男声，语调夸张且充满戏剧张力，带有鲜明的市井气息和喜剧节奏感，非常适合演绎机灵古怪、油嘴滑舌或具有讽刺意味的喜剧角色。
杠精,影视角色/激情熊大.mp3,男,青年,26岁,较快,配音,贱萌|戏谑|讽刺|夸张|活力|搞怪|反转|欠揍|毒舌,搞笑博主、反派小跟班、杠精网友、损友、喜剧角色,声音充满戏谑与夸张感，语调上扬且带有明显的“欠揍”属性，擅长一本正经地胡说八道或输出扎心语录，极具喜剧效果和病毒传播力。
凤仪,影视角色/武则天.mp3,女,青年,28岁,适中,配音,御姐|霸气|高傲|清冷|坚定|威严|飒爽|英气,女帝、女将军、掌门、大女主、贵妃,声音属于极具气场的御姐音，音色高亢且带有坚定的力量感。语气中透着一股不容置疑的傲气与威严，非常适合演绎权倾朝野的女帝、性格刚烈的女将军或修仙门派中的高冷掌门。
憨大头,影视角色/派大星.mp3,男,青年,22岁,适中,配音,憨厚|粗线条|搞笑|夸张|呆萌|冲动|耿直|市井,猪八戒、搞笑小弟、憨厚壮汉、热血笨蛋、喜剧配角,声音听起来憨厚中带着一种粗线条的幽默感，语气充满戏剧性的夸张和无奈，音质浑厚但略带沙哑，非常适合演绎动画或游戏中那些四肢发达、头脑简单的搞笑担当角色。
亦云,影视角色/敖丙.mp3,男,青年,22岁,适中,配音+旁白,清冷|少年感|倔强|坚定|孤傲|清澈|磁性|内敛|深情,修仙弟子、悲情男主、清冷剑客、被误解的少年、年轻刺客,音色清澈且略带冷感的青年男声，语调中透着一股不屈的倔强与孤傲，情感内敛却充满张力，非常适合演绎身世坎坷、内心坚定的少年英雄或悲情角色。
萌宝,影视角色/樱桃小丸子.mp3,女,儿童,5岁,适中,配音,稚嫩|可爱|清脆|天真|活泼|奶声奶气|元气|萌系,幼儿园小朋友、主角童年、宠物拟人、精灵、系统向导,稚嫩清脆的小女孩声音，奶声奶气中透着天真与活力，咬字清晰但带有儿童特有的圆润感，非常适合演绎可爱的幼童或萌宠角色。
佩奇,影视角色/逗佩奇.mp3,女,儿童,5岁,适中,配音,可爱|稚嫩|活泼|俏皮|清脆|欢快|纯真|元气,小猪佩奇、幼儿园小朋友、顽皮妹妹、卡通动物主角、小女孩,声音非常稚嫩可爱，带着明显的卡通腔调，语调上扬充满欢快气息，完美还原了小猪佩奇的经典声线，适合演绎活泼好动的小动物或天真烂漫的小女孩角色。
慈安,影视角色/龙婆.mp3,女,老年,75岁,较慢,配音+旁白,苍老|慈祥|沙哑|颤抖|沧桑|深沉|怀旧|故事感,太后、老祖宗、乞婆、巫医、豪门老太君,极为苍老且充满岁月痕迹的女声，嗓音沙哑带着微微的颤抖，语调缓慢沉重，仿佛饱经风霜，极适合演绎深宫太后、家族老祖宗或讲述陈年旧事的旁白。
星澈,影视角色/小正太.mp3,男,少年,17岁,较慢,旁白,清澈|纯净|治愈|感性|温暖|稚嫩|真诚|叙述,校园男主、文艺青年、情感博主、小王子、暗恋者,声音清澈透亮，带有少年的纯真与一丝淡淡的忧伤，语调温柔舒缓，非常适合演绎青春伤痛文学的独白、治愈系情感短文或校园题材的内心戏。
狐魅,影视角色/八重神子.mp3,女,青年,26岁,适中,配音,御姐|魅惑|清冷|高傲|神秘|撩人|女王|自信,妖女、女反派、高冷女官、神秘祭司、御姐型上司,声音兼具高傲与魅惑，带着一种居高临下的掌控感，语调清冷中透着一丝撩人心弦的磁性，非常适合演绎身份尊贵、性格神秘或带有危险迷人气质的御姐角色。
小新,影视角色/模仿-蜡笔小新.mp3,男,儿童,5岁,较慢,配音,呆萌|搞怪|鼻音|稚嫩|调皮|慵懒|夸张|模仿,蜡笔小新、熊孩子、捣蛋鬼、吉祥物、搞笑萌宠,极具辨识度的模仿声线，带有标志性的浓重鼻音和拖长尾音，听感呆萌搞怪又带点无厘头，非常适合演绎调皮捣蛋的儿童角色或搞笑场景。
萌奇,影视角色/懒羊羊.mp3,女,儿童,6岁,较快,配音,稚嫩|可爱|活泼|俏皮|清亮|卡通|童真|元气,调皮小男孩、热血正太、精灵宠物、幼儿园小朋友、捣蛋鬼,清亮稚嫩的卡通童声，音调较高，语气中充满了天真与活力，带有明显的夸张感和戏剧性，非常适合演绎热血动画片中的小主角或调皮捣蛋的吉祥物。
辉哥,影视角色/渣渣灰.mp3,男,中年,45岁,较慢,配音,港普|魔性|洗脑|沙哑|接地气|幽默|辨识度高|粗犷,香港大佬、搞笑广告主角、过气英雄、江湖老哥、游戏代言人,极具辨识度的“港普”口音，发音含糊且带有标志性的咬字不清（如把“大扎好”读成“大家好”），声线略显沙哑和粗糙，自带一种魔性的幽默感和洗脑效果。
粉嘟,影视角色/佩奇.mp3,女,儿童,5岁,适中,配音,稚嫩|可爱|活泼|俏皮|清脆|欢快|童真|奶萌|元气,小猪佩奇、顽皮妹妹、幼儿园小朋友、魔法少女宠物、童话小精灵,清脆稚嫩的小女孩声音，带有满满的元气和童真，语调活泼欢快，非常适合演绎调皮可爱的小动物主角或充满好奇心的人类幼崽。
嘟嘟,影视角色/小灰灰.mp3,男,儿童,4岁,适中,配音,稚嫩|含糊|呆萌|奶声奶气|可爱|活泼|天真|淘气,熊孩子、小妖怪、幼儿园小朋友、宠物拟人、弟弟,奶声奶气的小男孩声音，咬字带着特有的稚嫩与含糊感，听起来呆萌又淘气。尾音上扬，充满了天真无邪的活力，极适合演绎那种闯了祸还一脸无辜的“熊孩子”或可爱萌宠。
猴哥,影视角色/齐天大圣.mp3,男,青年,25岁,较快,配音,尖细|高亢|顽皮|灵动|戏剧腔|活力|傲娇|京味|经典,孙悟空、猴子精、捣蛋鬼、江湖游侠、戏曲丑角,声音尖细高亢，模仿经典的孙悟空声线，语调起伏大且带有明显的戏曲韵味，充满活力与顽皮感，非常适合演绎机灵、搞怪或具有英雄主义色彩的角色。
绯月,影视角色/胡桃.mp3,女,少年,16岁,较快,配音,古灵精怪|俏皮|活泼|灵动|高音|元气|搞怪|清亮,鬼马少女、傲娇千金、二次元妹妹、捣蛋鬼、魔法少女,声音清脆明亮，带有鲜明的俏皮感和节奏感，语调上扬充满元气，如同古灵精怪的邻家少女，非常适合演绎性格活泼、思维跳跃或带有捉弄意味的二次元角色。
云沧,影视角色/杰大大.mp3,男,中年,45岁,适中,配音+旁白,浑厚|沧桑|大气|豪迈|古风|磁性|讲古|史诗感,说书人、江湖侠客、武林盟主、历史解说、隐世高人,浑厚沧桑的中年男声，语调大气豪迈，自带江湖风云的叙事感，非常适合演绎武侠剧中的旁白、说书人或历经沧桑的隐世高手。
凄霜,影视角色/红太狼.mp3,女,青年,26岁,适中,配音,哭腔|悲愤|哀怨|尖锐|颤抖|凄惨|绝望|歇斯底里|戏剧性|情感爆发,被抛弃的怨妇、受委屈的妃子、苦情戏女主、因爱生恨的女配、崩溃的受害者,声音尖锐且充满极度悲愤的情绪，哭腔浓重，字字泣血，带有强烈的指责感和绝望感，非常适合演绎宫斗剧中失宠发疯的妃子或苦情戏中遭受巨大打击的女性角色。
乐淘,影视角色/班尼特.mp3,男,少年,12岁,较快,配音,活力|清脆|顽皮|好奇|稚嫩|爽朗|活泼|灵动,热血少年、小跟班、调皮学生、冒险伙伴、邻家弟弟,充满朝气与活力的少年音色，语调轻快上扬，带有明显的好奇心和一丝顽皮感，非常适合演绎热血动漫中的小主角或冒险故事里活泼开朗的小伙伴。
戏韵,影视角色/逗喊麦.mp3,男,中年,48岁,适中,配音,戏腔|夸张|滑稽|高亢|洪亮|韵味|江湖|说书,说书人、江湖骗子、戏班班主、滑稽小丑、店小二,带有浓厚戏曲韵味和夸张感的中年男声，语调高亢且抑扬顿挫，如同舞台上的丑角或说书人，非常适合演绎古代市井人物或带有喜剧色彩的江湖角色。
海绵,影视角色/海绵宝宝.mp3,男,青年,23岁,较快,配音,高亢|搞怪|夸张|尖锐|活泼|喜剧|魔性|特色,海绵宝宝、倒霉蛋、喜剧丑角、跟班小弟、话痨精灵,声音尖锐高亢，带有明显的鼻音和夸张的喜剧色彩，模仿了经典卡通角色的声线，充满童真与神经质的活力，非常适合搞笑动漫或喜剧场景。
天蓬,影视角色/八戒.mp3,男,中年,35岁,适中,配音,滑稽|憨厚|粗犷|抱怨|生活化|喜感|慵懒|油滑,猪八戒、贪吃随从、懒汉、市井无赖、滑稽配角,声音粗犷中透着滑稽，带有明显的憨厚感和油滑腔调。语气中充满抱怨和慵懒，极具辨识度和喜感，非常适合演绎贪吃懒做的喜剧角色或市井小人物。
灵犀,影视角色/喜羊羊.mp3,女,青年,16岁,适中,配音,清亮|傲娇|急切|少女感|灵动|倔强|辩解|情绪化,仙侠小师妹、被冤枉的少女、富家千金、古灵精怪的徒弟、江湖侠女,清亮且富有穿透力的少女音色，带着明显的傲娇和急切感。在被误解时展现出倔强与不甘，语气中充满情绪张力，非常适合演绎性格直爽、正在为自己辩白或受委屈的年轻女性角色。
彪子,影视角色/熊小二.mp3,男,青年,26岁,较快,配音,方言|痞气|搞笑|直爽|急躁|接地气|粗犷|反转,街头混混、搞笑反派、仗义兄弟、暴躁路人、市井小贩,带有浓重方言口音的青年男声，语气中充满了虚张声势的痞气和急躁感。声音虽装作凶狠，但透着一股莫名的喜感和憨直，非常适合演绎那种看似霸道实则心软或搞笑的市井小人物。
凛音,影视角色/刻晴.mp3,女,青年,22岁,适中,配音,高冷|清冷|坚定|御姐|飒爽|锐利|英气|战斗,女剑客、冷面杀手、特工、仙侠师姐、高冷女战神,声音清冷且极具穿透力，带有明显的金属质感和锋锐之气，语气坚定果决，毫无拖泥带水，非常适合演绎武艺高强、性格冷傲的战斗型御姐角色。
狂啸,影视角色/虾仁.mp3,男,青年,26岁,较快,配音,高亢|激昂|热血|中二|夸张|爆发力|沙雕|粗犷,热血漫主角、搞笑反派、电竞解说、帮派小弟、喊麦主播,声音高亢且充满爆发力，带有一种夸张的中二热血感，语气激昂顿挫，情绪饱满甚至略带疯狂，非常适合演绎需要调动气氛的搞笑视频或热血喊话场景。
亦史,影视角色/麦克阿瑟.mp3,男,中年,38岁,适中,旁白,浑厚|磁性|沉稳|叙述感|历史感|庄重|客观|深邃,纪录片旁白、新闻播音员、军事解说、博物馆导览、有声书讲述者,声音浑厚且富有磁性，语调沉稳庄重，自带一种客观冷静的历史叙述感。非常适合演绎历史纪录片、军事题材解说或需要深度与质感的旁白场景。
亦诚,影视角色/诸葛亮.mp3,男,青年,28岁,适中,配音,坚毅|激昂|正气|英武|赤诚|朗润|有力|古典,少年将军、侠客、义士、忠臣、热血男主,声音朗润且充满正气的青年男声，语调铿锵有力，情感饱满赤诚，透着一股英雄少年的豪情壮志，非常适合演绎历史剧中忠肝义胆的年轻将领或江湖侠客。
